data;ruota;numero1;numero2;numero3;numero4;numero5
19390415;TO;56;1;17;16;6
19390415;VE;7;25;72;86;48
19390422;BA;29;72;42;38;16
19390422;FI;3;87;74;33;49
19390422;MI;19;77;61;42;40
19390422;NA;64;62;75;58;9
19390422;PA;67;64;72;82;59
19390422;RM;59;68;78;11;75
19390422;TO;9;64;5;76;6
19390422;VE;86;70;60;63;7
19390429;BA;56;70;39;88;58
19390429;FI;6;39;53;7;79
19390429;MI;15;56;17;83;6
19390429;NA;4;59;43;64;84
19390429;PA;44;90;71;26;50
19390429;RM;35;39;86;66;32
19390429;TO;81;79;47;84;18
19390429;VE;50;51;66;14;25
19390506;BA;36;13;28;84;20
19390506;FI;88;57;84;23;70
19390506;MI;17;15;26;82;5
19390506;NA;89;52;84;87;60
19390506;PA;20;26;43;22;14
19390506;RM;75;71;85;22;81
19390506;TO;60;32;68;35;46
19390506;VE;73;61;12;67;15
19390513;BA;34;20;47;56;78
19390513;FI;42;43;75;68;38
19390513;MI;79;58;47;52;46
19390513;NA;89;68;55;15;24
19390513;PA;45;30;57;64;84
19390513;RM;73;80;23;6;76
19390513;TO;57;13;46;47;65
19390513;VE;1;66;39;54;47
19390520;BA;17;46;21;38;79
19390520;FI;65;73;24;37;68
19390520;MI;13;12;60;31;37
19390520;NA;78;21;80;82;90
19390520;PA;34;38;45;69;31
19390520;RM;35;3;87;60;24
19390520;TO;88;69;49;68;37
19390520;VE;2;8;47;65;26
19390527;BA;21;82;53;52;76
19390527;FI;59;48;80;40;46
19390527;MI;38;71;4;8;18
19390527;NA;38;78;19;89;58
19390527;PA;40;29;16;24;47
19390527;RM;77;62;75;40;6
19390527;TO;8;83;4;46;16
19390527;VE;13;74;64;49;10
19390603;BA;69;87;54;17;23
19390603;FI;70;66;76;46;20
19390603;MI;29;70;62;61;58
19390603;NA;20;51;50;71;53
19390603;PA;25;82;35;32;23
19390603;RM;22;57;6;1;4
19390603;TO;11;39;49;62;74
19390603;VE;67;68;48;75;18
19390610;BA;64;37;51;58;88
19390610;FI;55;46;63;26;35
19390610;MI;86;12;14;60;32
19390610;NA;28;33;87;45;71
19390610;PA;23;1;13;9;69
19390610;RM;66;53;16;85;22
19390610;TO;62;45;81;31;51
19390610;VE;28;6;42;85;48
19390617;BA;13;68;87;79;69
19390617;FI;15;58;27;50;67
19390617;MI;10;25;73;68;77
19390617;NA;84;27;2;63;15
19390617;PA;67;84;44;79;70
19390617;RM;88;76;71;32;9
19390617;TO;13;40;31;41;16
19390617;VE;30;14;23;47;74
19390624;BA;89;63;71;32;34
19390624;FI;32;48;40;22;35
19390624;MI;40;38;86;58;69
19390624;NA;24;37;50;32;63
19390624;PA;18;56;50;77;2
19390624;RM;75;33;83;35;14
19390624;TO;70;16;81;54;24
19390624;VE;61;68;9;16;19
19390701;BA;47;18;74;63;52
19390701;FI;27;24;64;38;25
19390701;MI;30;24;57;58;89
19390701;NA;42;48;61;23;40
19390701;PA;75;73;4;6;76
19390701;RM;42;68;73;9;71
19390701;TO;17;2;47;82;11
19390701;VE;74;10;24;34;75
19390708;BA;23;46;2;59;1
19390708;CA;52;62;77;49;87
19390708;FI;17;49;67;27;6
19390708;GE;15;14;76;42;53
19390708;MI;21;54;47;84;78
19390708;NA;37;38;30;80;46
19390708;PA;10;33;87;13;42
19390708;RM;52;38;22;79;36
19390708;TO;83;29;22;44;84
19390708;VE;45;14;10;7;61
19390715;BA;27;60;89;80;10
19390715;CA;26;62;39;27;32
19390715;FI;57;31;6;4;10
19390715;GE;85;86;28;39;7
19390715;MI;20;30;42;65;84
19390715;NA;22;51;20;81;73
19390715;PA;14;41;34;85;35
19390715;RM;79;61;85;28;4
19390715;TO;2;82;89;79;83
19390715;VE;66;75;90;32;50
19390722;BA;29;71;13;42;77
19390722;CA;18;67;31;48;53
19390722;FI;53;86;87;8;85
19390722;GE;37;33;72;24;30
19390722;MI;50;54;2;60;32
19390722;NA;43;7;1;74;53
19390722;PA;38;74;39;69;47
19390722;RM;65;36;52;50;75
19390722;TO;35;46;69;51;43
19390722;VE;21;17;36;28;64
19390729;BA;23;54;89;80;73
19390729;CA;72;89;78;6;15
19390729;FI;14;77;62;26;15
19390729;GE;5;24;67;57;78
19390729;MI;40;8;29;52;83
19390729;NA;11;87;26;55;10
19390729;PA;74;33;48;10;40
19390729;RM;17;21;51;57;85
19390729;TO;33;76;31;47;86
19390729;VE;85;34;32;57;45
19390805;BA;18;34;55;9;24
19390805;CA;60;81;31;3;30
19390805;FI;35;80;1;56;25
19390805;GE;35;4;11;15;81
19390805;MI;58;2;53;72;88
19390805;NA;55;16;45;64;32
19390805;PA;75;39;64;79;85
19390805;RM;72;63;62;66;68
19390805;TO;69;41;50;25;27
19390805;VE;51;2;13;71;26
19390812;BA;72;26;17;5;42
19390812;CA;35;65;47;83;26
19390812;FI;49;82;76;61;23
19390812;GE;12;23;25;88;11
19390812;MI;69;44;28;4;30
19390812;NA;3;54;68;31;1
19390812;PA;21;16;27;51;32
19390812;RM;47;85;76;39;25
19390812;TO;55;63;54;29;64
19390812;VE;47;40;87;88;21
19390819;BA;83;9;63;90;47
19390819;CA;65;12;42;60;52
19390819;FI;50;87;34;9;88
19390819;GE;33;43;41;17;65
19390819;MI;37;90;87;54;62
19390819;NA;85;16;64;70;52
19390819;PA;18;10;78;84;74
19390819;RM;54;80;90;57;42
19390819;TO;42;15;65;59;69
19390819;VE;3;90;1;80;56
19390826;BA;67;59;58;51;6
19390826;CA;73;34;13;75;46
19390826;FI;18;31;49;47;66
19390826;GE;83;45;81;24;59
19390826;MI;63;59;5;58;39
19390826;NA;18;85;12;73;60
19390826;PA;69;3;57;68;26
19390826;RM;10;13;45;46;51
19390826;TO;18;45;40;38;21
19390826;VE;89;57;18;32;10
19390902;BA;34;15;17;3;51
19390902;CA;60;61;20;15;33
19390902;FI;44;11;72;34;37
19390902;GE;14;21;84;69;70
19390902;MI;81;60;11;20;14
19390902;NA;28;54;7;86;20
19390902;PA;22;19;65;37;28
19390902;RM;25;33;89;45;64
19390902;TO;8;58;13;60;37
19390902;VE;76;56;24;79;81
19390909;BA;33;65;63;1;10
19390909;CA;75;23;81;9;66
19390909;FI;78;85;61;30;66
19390909;GE;12;46;19;3;85
19390909;MI;79;56;60;38;1
19390909;NA;28;83;78;55;47
19390909;PA;2;36;26;87;88
19390909;RM;62;28;63;82;33
19390909;TO;86;49;5;65;39
19390909;VE;18;80;63;65;46
19390916;BA;37;33;85;83;12
19390916;CA;80;38;52;62;34
19390916;FI;69;52;11;55;16
19390916;GE;51;32;17;37;30
19390916;MI;56;53;21;78;36
19390916;NA;71;40;73;1;90
19390916;PA;80;69;34;82;60
19390916;RM;41;1;36;82;87
19390916;TO;87;68;60;9;26
19390916;VE;68;17;13;36;11
19390923;BA;27;8;35;54;29
19390923;CA;5;72;66;50;15
19390923;FI;48;39;13;27;81
19390923;GE;70;68;43;90;35
19390923;MI;35;55;42;68;33
19390923;NA;6;13;72;85;20
19390923;PA;42;33;10;48;87
19390923;RM;21;27;1;30;71
19390923;TO;25;1;33;75;70
19390923;VE;29;71;79;46;80
19390930;BA;42;37;60;71;28
19390930;CA;12;18;16;13;9
19390930;FI;56;60;71;20;34
19390930;GE;88;14;76;83;48
19390930;MI;32;67;38;77;57
19390930;NA;35;52;34;30;13
19390930;PA;71;57;51;14;41
19390930;RM;62;58;5;44;68
19390930;TO;3;20;5;42;76
19390930;VE;36;68;25;50;33
19391007;BA;28;49;75;68;19
19391007;CA;10;5;22;1;37
19391007;FI;38;55;56;88;61
19391007;GE;11;18;60;62;53
19391007;MI;14;70;15;32;71
19391007;NA;6;25;8;31;49
19391007;PA;8;46;55;70;87
19391007;RM;39;59;4;72;11
19391007;TO;32;27;31;3;77
19391007;VE;9;25;76;53;67
19391014;BA;41;79;64;52;75
19391014;CA;35;78;11;69;85
19391014;FI;66;40;43;56;20
19391014;GE;72;50;9;24;40
19391014;MI;71;54;15;36;48
19391014;NA;29;47;81;40;54
19391014;PA;75;9;86;28;2
19391014;RM;66;76;32;23;2
19391014;TO;83;48;14;9;26
19391014;VE;35;86;8;45;71
19391021;BA;33;35;69;15;80
19391021;CA;61;12;28;32;3
19391021;FI;52;58;30;43;41
19391021;GE;87;12;56;3;17
19391021;MI;40;19;76;54;11
19391021;NA;62;5;75;57;23
19391021;PA;74;55;73;42;71
19391021;RM;82;13;63;89;73
19391021;TO;40;82;76;58;61
19391021;VE;40;18;61;27;37
19391028;BA;9;21;37;73;68
19391028;CA;17;63;88;83;87
19391028;FI;87;13;6;78;65
19391028;GE;87;28;72;60;30
19391028;MI;41;19;47;68;3
19391028;NA;89;76;85;39;40
19391028;PA;21;75;59;45;14
19391028;RM;67;20;23;64;86
19391028;TO;42;80;23;82;17
19391028;VE;18;24;2;80;74
19391104;BA;17;69;44;72;79
19391104;CA;88;75;43;41;74
19391104;FI;86;58;3;44;72
19391104;GE;25;84;36;61;45
19391104;MI;5;47;11;41;78
19391104;NA;73;28;37;50;25
19391104;PA;34;68;81;50;1
19391104;RM;48;40;56;33;45
19391104;TO;73;62;70;27;24
19391104;VE;46;81;48;30;70
19391111;BA;54;33;74;52;14
19391111;CA;18;88;9;12;43
19391111;FI;17;36;80;60;40
19391111;GE;14;46;32;57;44
19391111;MI;65;24;12;42;61
19391111;NA;15;74;69;90;80
19391111;PA;48;8;90;63;30
19391111;RM;49;15;57;4;80
19391111;TO;29;84;77;50;24
19391111;VE;6;24;30;27;79
19391118;BA;25;37;14;57;78
19391118;CA;71;13;6;1;48
19391118;FI;72;26;30;40;20
19391118;GE;64;86;45;65;59
19391118;MI;54;78;42;10;77
19391118;NA;21;29;27;17;71
19391118;PA;52;64;6;62;61
19391118;RM;80;22;77;11;70
19391118;TO;1;88;52;63;85
19391118;VE;42;20;32;86;17
19391125;BA;61;19;75;2;90
19391125;CA;23;78;25;21;16
19391125;FI;41;49;62;20;60
19391125;GE;31;54;59;84;69
19391125;MI;89;25;78;79;23
19391125;NA;46;40;54;38;15
19391125;PA;40;76;16;26;34
19391125;RM;49;26;46;57;30
19391125;TO;46;75;74;72;65
19391125;VE;89;47;58;70;82
19391202;BA;57;49;34;84;63
19391202;CA;88;29;1;57;26
19391202;FI;79;3;62;65;23
19391202;GE;66;50;40;71;63
19391202;MI;58;75;62;43;55
19391202;NA;38;33;48;20;76
19391202;PA;32;88;11;34;3
19391202;RM;12;49;19;53;82
19391202;TO;79;4;58;16;86
19391202;VE;59;87;30;64;50
19391209;BA;79;18;72;26;30
19391209;CA;70;42;3;41;58
19391209;FI;5;80;13;63;6
19391209;GE;43;49;82;45;51
19391209;MI;11;58;19;78;39
19391209;NA;70;10;40;26;62
19391209;PA;70;81;10;38;19
19391209;RM;14;82;64;47;66
19391209;TO;11;36;20;30;2
19391209;VE;84;9;1;38;90
19391216;BA;59;26;63;35;89
19391216;CA;84;54;59;38;5
19391216;FI;44;54;77;90;38
19391216;GE;17;1;6;9;43
19391216;MI;77;61;72;52;56
19391216;NA;28;35;54;19;7
19391216;PA;73;82;46;72;69
19391216;RM;86;60;90;45;40
19391216;TO;67;79;86;73;62
19391216;VE;90;26;73;70;85
19391223;BA;57;8;66;74;27
19391223;CA;37;42;51;56;90
19391223;FI;23;76;50;27;14
19391223;GE;73;43;31;42;28
19391223;MI;79;34;59;19;85
19391223;NA;84;35;78;69;3
19391223;PA;70;83;79;50;37
19391223;RM;66;53;20;5;86
19391223;TO;20;30;83;48;15
19391223;VE;8;25;70;17;63
19391230;BA;87;21;49;52;39
19391230;CA;67;40;17;45;76
19391230;FI;20;10;73;23;48
19391230;GE;17;32;40;31;37
19391230;MI;86;39;4;7;40
19391230;NA;76;34;21;28;2
19391230;PA;58;78;68;51;73
19391230;RM;27;57;33;53;23
19391230;TO;16;57;61;39;28
19391230;VE;56;44;77;50;35
19400106;BA;30;42;62;9;8
19400106;CA;72;22;35;12;62
19400106;FI;28;57;51;34;64
19400106;GE;57;19;54;67;52
19400106;MI;74;78;76;7;53
19400106;NA;27;46;70;40;89
19400106;PA;79;18;84;47;76
19400106;RM;4;82;50;81;85
19400106;TO;63;12;46;24;39
19400106;VE;88;40;75;83;23
19400113;BA;52;59;29;20;31
19400113;CA;36;26;8;51;61
19400113;FI;54;5;61;47;3
19400113;GE;76;69;77;75;86
19400113;MI;10;35;63;38;13
19400113;NA;15;84;38;45;65
19400113;PA;51;43;60;12;87
19400113;RM;60;72;45;9;13
19400113;TO;25;68;87;39;83
19400113;VE;78;11;62;51;54
19400120;BA;47;54;38;62;58
19400120;CA;64;65;86;85;45
19400120;FI;38;87;50;43;84
19400120;GE;72;83;57;20;63
19400120;MI;21;72;62;22;9
19400120;NA;14;5;57;32;60
19400120;PA;53;8;81;9;24
19400120;RM;29;11;9;84;70
19400120;TO;21;61;15;71;44
19400120;VE;77;5;46;80;57
19400127;BA;46;60;23;44;40
19400127;CA;58;2;70;48;14
19400127;FI;87;68;19;86;56
19400127;GE;40;59;46;34;86
19400127;MI;25;35;39;50;38
19400127;NA;3;55;72;58;54
19400127;PA;22;4;20;90;17
19400127;RM;59;70;54;75;19
19400127;TO;58;68;19;1;34
19400127;VE;76;1;32;22;50
19400203;BA;32;16;7;30;78
19400203;CA;47;81;38;24;16
19400203;FI;23;25;12;55;40
19400203;GE;66;42;27;36;39
19400203;MI;6;77;38;42;1
19400203;NA;50;1;71;5;6
19400203;PA;59;71;10;80;72
19400203;RM;48;66;53;70;38
19400203;TO;24;17;50;38;11
19400203;VE;67;27;10;51;4
19400210;BA;69;50;24;65;1
19400210;CA;11;56;32;12;81
19400210;FI;42;56;66;27;90
19400210;GE;20;28;54;55;18
19400210;MI;26;22;31;21;14
19400210;NA;68;25;88;70;10
19400210;PA;73;68;89;56;7
19400210;RM;4;30;42;77;75
19400210;TO;63;33;29;46;51
19400210;VE;48;42;73;86;51
19400217;BA;50;65;70;34;22
19400217;CA;70;57;85;28;62
19400217;FI;51;49;13;66;9
19400217;GE;74;13;41;28;48
19400217;MI;12;81;69;9;66
19400217;NA;53;84;37;79;5
19400217;PA;21;59;43;89;2
19400217;RM;18;47;21;33;15
19400217;TO;43;2;3;69;34
19400217;VE;35;58;67;49;59
19400224;BA;69;22;9;7;34
19400224;CA;81;7;57;60;27
19400224;FI;13;43;50;46;51
19400224;GE;41;48;77;14;43
19400224;MI;33;82;40;55;24
19400224;NA;46;39;5;28;70
19400224;PA;86;75;29;88;36
19400224;RM;35;3;42;26;86
19400224;TO;19;47;35;84;51
19400224;VE;25;53;22;63;40
19400302;BA;61;70;81;83;41
19400302;CA;79;25;70;26;16
19400302;FI;4;57;12;29;71
19400302;GE;81;4;6;17;20
19400302;MI;53;14;49;59;57
19400302;NA;34;13;51;19;28
19400302;PA;64;46;57;38;89
19400302;RM;82;37;77;83;46
19400302;TO;40;28;73;65;76
19400302;VE;15;1;88;89;44
19400309;BA;71;82;13;90;54
19400309;CA;11;59;62;83;87
19400309;FI;53;40;51;80;39
19400309;GE;66;85;41;47;32
19400309;MI;9;14;71;67;44
19400309;NA;58;10;70;69;29
19400309;PA;69;65;6;75;40
19400309;RM;88;62;24;7;3
19400309;TO;49;52;21;42;31
19400309;VE;56;72;57;85;7
19400316;BA;32;3;6;84;89
19400316;CA;50;53;41;88;54
19400316;FI;58;38;76;63;61
19400316;GE;81;67;6;25;3
19400316;MI;7;38;62;81;90
19400316;NA;89;39;16;86;44
19400316;PA;80;74;40;18;44
19400316;RM;65;42;40;56;63
19400316;TO;12;72;14;5;59
19400316;VE;85;38;11;24;30
19400323;BA;28;29;31;89;17
19400323;CA;71;39;65;5;38
19400323;FI;64;71;59;11;18
19400323;GE;28;50;81;51;42
19400323;MI;54;51;13;87;61
19400323;NA;19;12;63;34;74
19400323;PA;23;62;39;63;29
19400323;RM;80;68;52;74;72
19400323;TO;10;56;46;55;68
19400323;VE;53;44;48;5;20
19400330;BA;46;20;81;74;10
19400330;CA;28;56;19;85;60
19400330;FI;28;10;81;84;60
19400330;GE;40;80;3;54;39
19400330;MI;83;79;37;28;47
19400330;NA;67;73;63;13;20
19400330;PA;6;77;72;15;87
19400330;RM;40;21;15;12;22
19400330;TO;57;59;72;14;52
19400330;VE;8;19;69;12;82
19400406;BA;16;20;58;9;53
19400406;CA;72;41;50;36;78
19400406;FI;33;66;31;83;27
19400406;GE;85;57;3;19;26
19400406;MI;59;7;57;49;73
19400406;NA;4;46;31;26;23
19400406;PA;40;47;79;71;63
19400406;RM;18;81;41;25;73
19400406;TO;60;70;17;57;7
19400406;VE;18;32;41;48;80
19400413;BA;64;33;18;59;65
19400413;CA;7;23;19;51;50
19400413;FI;13;11;4;9;66
19400413;GE;41;38;17;34;1
19400413;MI;63;81;24;45;69
19400413;NA;3;85;60;22;14
19400413;PA;44;3;35;82;67
19400413;RM;70;61;29;63;1
19400413;TO;34;79;14;37;57
19400413;VE;47;41;81;44;71
19400420;BA;18;53;14;57;51
19400420;CA;29;75;15;17;30
19400420;FI;72;46;70;71;89
19400420;GE;57;60;59;4;87
19400420;MI;17;62;3;16;66
19400420;NA;63;86;71;78;50
19400420;PA;54;70;66;53;71
19400420;RM;72;34;60;9;88
19400420;TO;85;13;40;34;77
19400420;VE;29;75;62;14;85
19400427;BA;45;51;74;66;44
19400427;CA;30;89;52;73;59
19400427;FI;58;1;68;69;27
19400427;GE;30;38;15;25;35
19400427;MI;46;59;74;20;60
19400427;NA;7;16;46;55;52
19400427;PA;45;29;5;2;27
19400427;RM;4;77;11;50;79
19400427;TO;84;90;42;85;71
19400427;VE;85;11;33;24;15
19400504;BA;33;11;15;53;46
19400504;CA;70;28;29;68;46
19400504;FI;57;24;18;31;21
19400504;GE;74;50;82;88;21
19400504;MI;29;63;32;10;44
19400504;NA;56;6;35;77;40
19400504;PA;75;47;7;17;55
19400504;RM;63;26;69;56;90
19400504;TO;14;19;58;48;73
19400504;VE;1;26;27;79;48
19400511;BA;60;71;88;40;46
19400511;CA;11;55;90;6;48
19400511;FI;81;14;72;45;88
19400511;GE;4;67;10;44;6
19400511;MI;30;88;54;66;62
19400511;NA;86;8;68;59;47
19400511;PA;15;25;68;54;10
19400511;RM;86;12;60;53;65
19400511;TO;21;71;34;83;82
19400511;VE;90;10;82;65;73
19400518;BA;85;66;26;8;90
19400518;CA;10;28;34;79;68
19400518;FI;47;81;22;89;52
19400518;GE;11;65;52;19;58
19400518;MI;71;76;51;57;59
19400518;NA;84;5;39;7;37
19400518;PA;28;32;59;71;41
19400518;RM;40;4;80;20;9
19400518;TO;80;83;5;79;19
19400518;VE;40;13;60;55;9
19400525;BA;22;3;30;78;14
19400525;CA;53;1;71;78;59
19400525;FI;57;68;79;18;81
19400525;GE;65;18;29;16;30
19400525;MI;45;75;21;82;1
19400525;NA;25;67;68;30;2
19400525;PA;81;18;58;21;39
19400525;RM;48;39;72;69;23
19400525;TO;51;13;68;63;16
19400525;VE;18;77;11;1;75
19400601;BA;43;47;61;74;13
19400601;CA;44;66;2;48;30
19400601;FI;7;38;49;42;80
19400601;GE;13;78;43;22;57
19400601;MI;59;77;36;57;53
19400601;NA;40;56;54;69;2
19400601;PA;69;86;48;41;38
19400601;RM;69;28;37;45;15
19400601;TO;23;24;85;4;70
19400601;VE;65;53;72;23;59
19400608;BA;85;76;26;41;73
19400608;CA;26;33;61;73;31
19400608;FI;68;13;46;82;48
19400608;GE;34;72;70;28;20
19400608;MI;37;66;78;46;7
19400608;NA;51;65;34;19;68
19400608;PA;8;72;26;5;6
19400608;RM;78;10;74;17;79
19400608;TO;11;72;12;32;89
19400608;VE;42;40;36;78;28
19400615;BA;51;24;26;49;60
19400615;CA;66;59;34;63;61
19400615;FI;47;78;20;48;67
19400615;GE;55;23;86;16;52
19400615;MI;45;76;71;10;32
19400615;NA;36;62;67;30;46
19400615;PA;43;60;54;19;44
19400615;RM;72;13;39;12;79
19400615;TO;51;48;45;3;64
19400615;VE;76;36;35;50;33
19400622;BA;20;16;83;4;22
19400622;CA;4;46;87;43;51
19400622;FI;73;67;39;19;48
19400622;GE;28;64;31;7;58
19400622;MI;89;38;34;55;65
19400622;NA;8;39;63;76;48
19400622;PA;61;35;56;52;31
19400622;RM;4;62;71;89;82
19400622;TO;5;38;25;2;18
19400622;VE;85;39;62;12;48
19400629;BA;24;76;22;85;13
19400629;CA;30;29;76;54;40
19400629;FI;61;39;19;41;64
19400629;GE;27;10;19;77;56
19400629;MI;86;78;56;48;35
19400629;NA;20;36;35;56;3
19400629;PA;59;11;14;85;43
19400629;RM;12;21;29;78;90
19400629;TO;73;31;20;49;18
19400629;VE;66;81;69;55;61
19400706;BA;88;8;40;76;63
19400706;CA;62;65;67;7;88
19400706;FI;18;70;8;61;69
19400706;GE;86;18;26;68;81
19400706;MI;86;90;81;38;76
19400706;NA;10;40;86;42;58
19400706;PA;44;39;28;17;75
19400706;RM;80;79;47;44;43
19400706;TO;61;22;55;32;33
19400706;VE;51;65;52;6;15
19400713;BA;15;76;70;32;49
19400713;CA;68;3;84;27;38
19400713;FI;9;38;57;73;15
19400713;GE;16;64;10;51;88
19400713;MI;86;38;8;2;78
19400713;NA;20;52;2;80;4
19400713;PA;88;49;81;64;56
19400713;RM;66;6;80;39;56
19400713;TO;55;21;81;79;27
19400713;VE;3;37;31;26;2
19400720;BA;43;54;90;27;89
19400720;CA;50;55;90;22;61
19400720;FI;63;2;14;77;48
19400720;GE;51;3;76;21;13
19400720;MI;40;3;31;62;50
19400720;NA;59;75;36;46;48
19400720;PA;56;89;73;83;68
19400720;RM;74;45;76;54;81
19400720;TO;23;41;56;46;80
19400720;VE;62;38;85;12;54
19400727;BA;42;38;10;66;78
19400727;CA;76;34;25;64;33
19400727;FI;60;53;54;33;9
19400727;GE;47;24;13;74;41
19400727;MI;62;61;86;49;15
19400727;NA;22;1;9;40;21
19400727;PA;55;35;76;53;47
19400727;RM;31;42;2;62;25
19400727;TO;30;14;28;9;54
19400727;VE;54;14;67;81;48
19400803;BA;9;80;69;34;87
19400803;CA;73;74;9;81;48
19400803;FI;66;55;34;89;61
19400803;GE;22;59;89;25;78
19400803;MI;24;43;27;26;1
19400803;NA;45;6;66;88;24
19400803;PA;28;34;69;9;40
19400803;RM;86;47;81;88;26
19400803;TO;50;68;8;16;89
19400803;VE;15;74;18;56;72
19400810;BA;51;17;11;2;53
19400810;CA;81;88;89;33;24
19400810;FI;45;48;60;71;12
19400810;GE;59;52;45;57;24
19400810;MI;53;44;2;17;43
19400810;NA;84;61;13;71;45
19400810;PA;63;70;87;19;12
19400810;RM;31;10;34;30;14
19400810;TO;30;23;66;37;19
19400810;VE;42;86;3;81;66
19400817;BA;1;35;61;26;21
19400817;CA;14;81;83;64;37
19400817;FI;10;76;65;25;85
19400817;GE;25;39;90;85;29
19400817;MI;5;2;76;48;89
19400817;NA;32;36;14;64;55
19400817;PA;43;27;67;11;50
19400817;RM;86;49;65;90;24
19400817;TO;17;15;64;35;25
19400817;VE;71;52;1;81;75
19400824;BA;38;36;53;13;44
19400824;CA;11;86;19;5;35
19400824;FI;52;25;7;73;11
19400824;GE;52;65;51;17;71
19400824;MI;90;64;83;38;45
19400824;NA;25;66;8;18;48
19400824;PA;43;11;19;51;68
19400824;RM;76;60;49;39;50
19400824;TO;35;75;85;51;14
19400824;VE;67;20;66;33;40
19400831;BA;76;61;81;40;62
19400831;CA;52;28;40;46;42
19400831;FI;24;21;78;71;40
19400831;GE;60;68;5;53;15
19400831;MI;53;3;79;23;67
19400831;NA;70;75;69;13;24
19400831;PA;90;72;51;69;25
19400831;RM;80;24;47;9;2
19400831;TO;70;22;28;86;6
19400831;VE;59;21;29;16;37
19400907;BA;8;58;12;44;87
19400907;CA;11;24;68;5;83
