data;concorso;numero1;numero2;numero3;numero4;numero5;numero6;jolly;superstar
19990911;73;25;40;57;59;76;82;55;
19990915;74;17;20;27;29;72;73;85;
19990918;75;12;15;33;60;79;88;8;
19990922;76;1;11;40;50;53;80;68;
19990925;77;6;27;37;38;47;79;23;
19990929;78;4;16;27;55;67;72;3;
19991002;79;6;10;38;48;49;65;61;
19991006;80;38;58;61;64;82;87;68;
19991009;81;12;35;40;59;78;80;44;
19991013;82;6;24;30;34;37;71;82;
19991016;83;3;35;45;47;54;70;30;
19991020;84;22;26;58;60;67;88;49;
19991023;85;24;46;57;73;79;81;77;
19991027;86;6;25;34;72;76;82;12;
19991030;87;16;21;29;39;70;90;76;
19991103;88;19;42;64;68;72;86;45;
19991106;89;6;7;37;67;80;87;22;
19991110;90;21;45;55;61;73;80;77;
19991113;91;3;23;61;82;83;88;64;
19991117;92;6;51;73;78;80;81;34;
19991120;93;20;31;45;62;76;81;51;
19991124;94;12;16;24;48;53;58;85;
19991127;95;14;20;57;79;85;88;69;
19991201;96;1;13;24;39;44;45;83;
19991204;97;13;39;62;63;66;76;11;
19991209;98;20;32;37;44;75;88;72;
19991211;99;6;27;50;57;77;80;22;
19991215;100;18;21;28;35;41;85;66;
19991218;101;13;42;57;61;63;82;45;
19991222;102;6;9;32;47;59;60;83;
19991227;103;20;21;63;71;75;79;15;
19991229;104;14;15;20;42;70;88;28;
20000103;1;17;38;48;51;55;62;59;
20000105;2;2;13;31;37;38;82;39;
20000108;3;6;15;47;71;75;86;78;
20000112;4;3;15;48;74;76;81;34;
20000115;5;11;21;22;50;59;63;42;
20000119;6;20;29;39;54;57;71;28;
20000122;7;15;21;55;60;70;90;34;
20000126;8;2;57;62;63;73;87;55;
20000129;9;55;65;68;70;73;80;89;
20000202;10;12;13;28;30;47;63;35;
20000205;11;17;48;52;64;86;87;60;
20000209;12;6;36;49;51;52;76;35;
20000212;13;4;33;67;71;81;82;72;
20000216;14;8;27;39;51;54;90;71;
20000219;15;25;28;37;51;54;81;4;
20000223;16;44;53;61;65;86;89;49;
20000226;17;4;35;48;57;69;90;34;
20000301;18;27;32;37;70;82;88;52;
20000304;19;7;19;29;33;40;88;80;
20000308;20;4;13;15;20;32;41;28;
20000311;21;28;42;46;56;74;87;43;
20000315;22;8;17;35;61;78;89;9;
20000318;23;8;58;76;81;85;87;65;
20000322;24;2;19;22;57;65;89;61;
20000325;25;15;27;47;51;62;63;20;
20000329;26;1;6;12;26;57;70;28;
20000401;27;3;9;30;58;60;88;37;
20000405;28;10;17;33;38;67;71;73;
20000408;29;3;12;26;47;54;87;90;
20000412;30;18;24;45;58;62;80;4;
20000415;31;2;27;33;47;53;86;65;
20000419;32;5;53;64;74;77;88;78;
20000422;33;24;35;39;48;82;85;66;
20000426;34;17;51;67;70;82;86;49;
20000429;35;8;42;45;59;68;88;9;
20000503;36;1;13;37;53;62;71;9;
20000506;37;23;26;34;56;66;85;44;
20000510;38;9;12;19;39;82;86;69;
20000513;39;32;38;40;59;62;79;2;
20000517;40;11;14;19;32;78;89;9;
20000520;41;19;32;41;42;67;77;79;
20000524;42;8;10;22;72;87;90;39;
20000527;43;3;25;39;50;53;67;51;
20000531;44;4;8;19;39;63;70;66;
20000603;45;6;17;31;33;43;66;78;
20000607;46;2;4;23;38;53;59;17;
20000610;47;3;16;37;56;58;79;18;
20000614;48;15;25;50;64;80;89;72;
20000617;49;29;32;35;49;69;71;70;
20000621;50;12;15;34;43;55;75;70;
20000624;51;1;28;52;53;63;77;11;
20000628;52;3;17;18;41;63;89;48;
20000701;53;19;39;43;48;62;76;5;
20000705;54;12;34;35;50;63;88;69;
20000708;55;4;6;8;41;76;80;60;
20000712;56;11;15;16;43;49;84;48;
20000715;57;5;18;24;51;55;74;17;
20000719;58;6;37;53;60;66;72;26;
20000722;59;10;13;42;54;66;81;1;
20000726;60;3;37;40;49;53;83;44;
20000729;61;29;31;56;57;76;79;43;
20000802;62;4;39;56;59;65;78;61;
20000805;63;23;36;56;78;80;83;40;
20000809;64;18;36;47;62;75;80;41;
20000812;65;9;19;52;68;70;74;88;
20000816;66;14;21;27;49;82;83;36;
20000819;67;5;30;32;35;55;87;86;
20000823;68;11;13;20;41;76;89;29;
20000826;69;4;14;15;19;76;85;89;
20000830;70;8;16;59;61;78;90;45;
20000902;71;28;44;49;57;64;89;87;
20000906;72;7;11;48;49;64;72;8;
20000909;73;3;6;10;26;43;72;89;
20000913;74;1;45;48;69;70;89;26;
20000916;75;8;9;17;37;49;86;30;
20000920;76;12;14;29;49;62;82;79;
20000923;77;12;51;56;73;85;88;25;
20000927;78;5;48;71;84;85;87;22;
20000930;79;25;35;52;55;60;68;75;
20001004;80;2;3;15;16;24;67;7;
20001007;81;8;10;16;21;39;65;2;
20001011;82;11;54;64;70;73;77;66;
20001014;83;24;35;37;63;81;85;25;
20001018;84;15;33;41;48;52;56;82;
20001021;85;1;10;23;40;68;75;14;
20001025;86;2;38;39;41;61;76;21;
20001028;87;6;21;29;43;80;89;5;
20001102;88;2;55;76;78;81;85;71;
20001104;89;19;21;28;50;53;62;64;
20001108;90;22;42;50;53;78;83;40;
20001111;91;9;27;45;66;68;71;83;
20001115;92;1;25;26;28;53;79;73;
20001118;93;3;21;42;49;64;85;66;
20001122;94;14;25;39;50;72;89;59;
20001125;95;3;14;49;52;65;81;42;
20001129;96;13;17;29;32;35;49;56;
20001202;97;6;11;17;18;20;59;55;
20001206;98;9;16;48;70;75;77;64;
20001209;99;39;55;62;77;82;88;78;
20001213;100;8;54;62;63;66;84;45;
20001216;101;23;33;36;55;76;79;44;
20001220;102;26;36;43;47;64;90;23;
20001223;103;11;33;59;68;84;85;62;
20001227;104;1;5;14;20;39;58;76;
20001230;105;1;8;26;33;47;70;72;
20010103;1;15;25;26;33;41;62;51;
20010108;2;16;19;61;69;72;84;59;
20010110;3;8;14;30;31;35;76;75;
20010113;4;44;50;57;81;83;90;5;
20010117;5;16;22;35;41;53;62;71;
20010120;6;14;25;28;42;82;90;31;
20010124;7;29;42;56;65;80;90;78;
20010127;8;2;6;18;20;49;83;15;
20010131;9;28;46;65;70;77;86;53;
20010203;10;2;8;13;39;47;89;33;
20010207;11;4;23;56;63;71;89;84;
20010210;12;4;36;41;49;56;82;62;
20010214;13;15;22;38;62;83;86;57;
20010217;14;9;17;30;37;40;46;74;
20010221;15;6;28;46;55;56;62;64;
20010224;16;25;26;75;78;79;80;56;
20010228;17;33;43;59;77;83;86;12;
20010303;18;5;13;18;40;51;56;82;
20010307;19;32;34;40;45;65;71;89;
20010310;20;18;39;61;68;74;75;22;
20010314;21;28;35;36;62;66;70;67;
20010317;22;8;19;46;49;73;85;72;
20010321;23;39;43;56;61;65;81;28;
20010324;24;2;8;24;36;80;84;79;
20010328;25;11;39;63;64;74;88;28;
20010331;26;12;14;17;32;50;58;13;
20010404;27;2;23;48;57;63;89;11;
20010407;28;5;12;40;61;63;88;31;
20010411;29;11;41;52;71;81;89;38;
20010414;30;10;11;64;74;82;88;33;
20010418;31;10;26;32;41;42;54;31;
20010421;32;2;7;12;31;38;71;63;
20010426;33;4;22;27;45;58;86;55;
20010428;34;2;14;32;43;44;55;12;
20010502;35;2;45;59;70;75;82;26;
20010505;36;9;22;26;67;71;89;36;
20010509;37;7;30;47;76;83;89;11;
20010512;38;3;32;37;42;4;89;57;
20010516;39;13;15;18;49;65;73;67;
20010519;40;6;36;52;68;80;81;87;
20010523;41;8;39;55;56;57;63;45;
20010526;42;5;26;37;43;45;64;54;
20010530;43;11;18;42;44;45;83;7;
20010602;44;36;48;70;77;82;88;37;
20010606;45;7;18;44;48;51;63;73;
20010609;46;4;18;24;29;41;59;40;
20010613;47;58;61;70;78;84;8;83;
20010616;48;7;12;19;21;60;81;4;
20010620;49;25;32;34;54;64;83;56;
20010623;50;4;15;22;34;77;87;81;
20010627;51;16;20;27;31;32;77;14;
20010630;52;22;31;45;68;84;88;54;
20010704;53;13;29;40;61;73;81;4;
20010707;54;10;50;53;78;82;86;90;
20010711;55;7;10;23;33;68;85;30;
20010714;56;1;31;44;59;64;77;53;
20010718;57;4;22;37;43;63;80;46;
20010721;58;3;9;35;65;80;84;26;
20010725;59;39;56;64;75;76;90;53;
20010728;60;27;31;34;47;58;75;62;
20010801;61;5;39;43;53;63;82;33;
20010804;62;5;22;49;63;65;66;76;
20010808;63;1;8;14;27;83;87;5;
20010811;64;21;25;31;44;49;52;61;
20010816;65;7;58;61;62;73;74;79;
20010818;66;6;7;14;53;54;85;3;
20010822;67;10;12;38;57;72;84;11;
20010825;68;1;9;27;36;68;70;85;
20010829;69;5;11;44;57;86;90;39;
20010901;70;10;11;16;45;46;55;31;
20010905;71;8;43;53;69;74;79;75;
20010908;72;12;25;49;53;67;73;37;
20010912;73;3;5;10;32;44;75;49;
20010915;74;2;14;38;53;56;71;48;
20010919;75;10;21;30;45;55;57;64;
20010922;76;22;26;27;28;72;73;1;
20010926;77;14;62;69;70;86;88;9;
20010929;78;3;4;7;55;61;77;75;
20011003;79;14;42;45;49;71;86;72;
20011006;80;3;11;43;50;85;88;45;
20011010;81;14;35;37;52;66;72;12;
20011013;82;13;28;45;58;70;86;60;
20011017;83;18;49;60;64;80;84;79;
20011020;84;16;19;20;30;31;47;83;
20011024;85;12;23;48;70;85;86;78;
20011027;86;25;32;36;46;57;58;73;
20011031;87;5;11;17;21;28;63;50;
20011103;88;7;24;30;59;66;89;74;
20011107;89;8;10;23;35;40;46;9;
20011110;90;1;34;42;50;70;72;11;
20011114;91;3;4;16;36;74;89;40;
20011117;92;1;7;10;23;66;88;18;
20011121;93;14;53;55;65;83;87;74;
20011124;94;6;7;16;51;62;83;36;
20011128;95;21;32;35;40;66;83;50;
20011201;96;32;48;50;55;58;86;4;
20011205;97;14;32;47;48;63;79;46;
20011210;98;5;19;40;51;85;87;88;
20011212;99;4;14;20;61;75;78;56;
20011215;100;1;14;68;70;75;83;89;
20011219;101;19;25;49;53;81;84;64;
20011222;102;3;21;32;48;59;68;18;
20011227;103;20;21;26;53;80;90;4;
20011229;104;24;26;49;53;68;83;29;
20011231;105;41;51;54;63;66;69;35;
20020102;1;23;31;33;39;74;84;45;
20020105;2;50;52;54;76;77;86;64;
20020109;3;15;30;37;52;61;87;10;
20020112;4;12;26;45;75;82;84;33;
20020116;5;3;13;20;35;46;58;71;
20020119;6;15;19;30;46;47;71;72;
20020123;7;12;41;52;55;84;85;45;
20020126;8;25;33;41;51;66;76;28;
20020130;9;3;6;34;49;79;83;32;
20020202;10;21;28;60;68;71;88;89;
20020206;11;29;37;53;62;79;85;51;
20020209;12;9;35;45;77;85;87;72;
20020213;13;14;39;53;55;73;87;3;
20020216;14;6;36;37;59;61;62;38;
20020220;15;1;61;66;70;78;81;85;
20020223;16;14;17;56;59;69;88;13;
20020227;17;29;33;40;47;54;87;27;
20020302;18;19;26;28;45;86;88;79;
20020306;19;5;6;32;61;67;85;35;
20020309;20;44;56;57;76;86;88;19;
20020313;21;20;40;64;68;76;90;59;
20020316;22;5;30;34;50;82;84;28;
20020320;23;15;35;42;45;55;77;43;
20020323;24;1;29;35;38;45;51;86;
20020327;25;3;11;16;38;69;82;17;
20020330;26;30;56;57;73;82;84;41;
20020403;27;15;37;40;47;64;81;49;
20020406;28;19;23;29;44;69;89;60;
20020410;29;2;28;43;57;79;90;15;
20020413;30;18;21;76;79;80;84;57;
20020417;31;24;27;35;43;64;88;8;
20020420;32;19;42;45;51;62;88;18;
20020424;33;27;42;45;62;74;87;2;
20020427;34;21;37;41;45;60;71;23;
20020502;35;7;15;17;26;36;54;10;
20020504;36;1;6;60;61;69;86;3;
20020508;37;25;55;57;67;69;86;2;
20020511;38;10;17;51;54;62;65;81;
20020515;39;23;26;34;35;71;84;53;
20020518;40;13;28;31;58;59;79;45;
20020522;41;12;26;27;42;66;89;41;
20020525;42;40;46;49;62;77;88;2;
20020529;43;21;36;38;72;79;82;25;
20020601;44;38;50;58;80;85;90;84;
20020605;45;4;41;43;51;85;89;64;
20020608;46;1;38;70;75;83;86;52;
20020612;47;37;51;58;62;63;86;78;
20020615;48;8;16;33;64;71;86;90;
20020619;49;22;24;30;58;60;89;26;
20020622;50;16;37;42;46;60;64;11;
20020626;51;9;11;17;38;81;88;46;
20020629;52;1;4;50;66;69;77;42;
20020703;53;14;21;34;37;66;73;74;
20020706;54;3;15;28;76;83;86;56;
20020710;55;19;37;50;73;75;85;61;
20020713;56;21;38;63;70;71;83;7;
20020717;57;17;20;44;57;71;76;14;
20020720;58;11;19;57;63;84;89;35;
20020724;59;5;17;44;62;80;88;69;
20020727;60;11;20;24;31;40;49;88;
20020731;61;8;12;36;62;68;81;51;
20020803;62;23;26;32;52;71;75;35;
20020807;63;7;8;53;72;82;84;22;
20020810;64;16;29;32;40;48;70;38;
20020814;65;5;7;20;25;38;59;63;
20020817;66;15;30;33;35;87;88;90;
20020821;67;17;23;33;44;46;69;7;
20020824;68;8;25;26;38;66;79;49;
20020828;69;1;7;42;49;77;88;46;
20020831;70;21;28;29;36;45;54;5;
20020904;71;10;41;52;53;61;88;89;
20020907;72;16;51;57;64;72;90;63;
20020911;73;16;23;55;83;86;89;9;
20020914;74;20;23;30;44;78;88;56;
20020918;75;11;18;55;77;81;85;58;
20020921;76;1;10;16;51;76;89;49;
20020925;77;23;50;54;56;78;83;65;
20020928;78;34;56;61;62;70;77;59;
20021002;79;14;18;54;63;70;87;74;
20021005;80;9;15;25;40;44;71;84;
20021009;81;21;22;52;59;65;76;40;
20021012;82;1;2;8;12;48;66;28;
20021016;83;10;27;37;57;66;78;9;
20021019;84;10;21;23;35;55;89;53;
20021023;85;40;43;46;57;77;82;47;
20021026;86;27;70;73;84;88;90;4;
20021030;87;13;15;36;78;82;86;67;
20021102;88;1;15;22;33;42;80;53;
20021106;89;11;13;25;59;61;87;77;
20021109;90;12;34;39;52;61;83;7;
20021113;91;5;44;45;53;73;89;41;
20021116;92;5;11;23;47;58;60;8;
20021120;93;18;26;44;51;63;90;68;
20021123;94;14;42;68;69;80;85;54;
20021127;95;10;16;20;26;48;56;63;
20021130;96;17;34;35;56;65;85;61;
20021203;97;4;5;11;26;34;36;72;
20021205;98;14;17;21;31;33;69;78;
20021207;99;6;17;23;55;56;68;41;
20021210;100;22;31;63;76;78;79;58;
20021212;101;3;8;21;33;46;86;37;
20021214;102;14;35;36;47;58;69;89;
20021217;103;5;27;30;31;34;86;87;
20021219;104;18;27;49;59;81;88;17;
20021221;105;2;27;52;65;70;82;90;
20021224;106;1;3;6;42;81;83;87;
20021227;107;33;41;49;50;73;87;27;
20021228;108;14;17;62;75;76;85;35;
20021231;109;24;31;37;45;71;81;72;
20030102;1;6;18;34;43;58;80;8;
20030104;2;16;17;26;28;37;85;55;
20030108;3;5;26;49;50;73;90;65;
20030111;4;11;12;27;39;67;90;34;
20030115;5;2;46;49;56;82;84;37;
20030118;6;50;62;70;75;82;90;74;
20030122;7;51;57;58;69;86;89;7;
20030125;8;33;37;41;56;65;82;10;
20030129;9;5;11;22;27;36;90;84;
20030201;10;14;24;40;56;81;90;20;
20030205;11;12;18;54;71;80;85;24;
20030208;12;3;14;31;32;64;79;50;
20030212;13;14;22;24;34;60;85;61;
20030215;14;3;9;12;36;71;85;8;
20030219;15;12;19;51;61;62;90;1;
20030222;16;17;41;45;81;82;88;39;
20030226;17;1;41;48;49;84;87;80;
20030301;18;8;12;27;72;80;84;19;
20030305;19;29;40;57;67;76;79;87;
20030308;20;8;27;34;42;83;88;24;
20030312;21;5;27;30;58;78;82;68;
20030315;22;23;27;43;56;71;75;58;
20030319;23;1;17;46;58;67;75;41;
20030322;24;32;34;37;49;52;68;71;
20030326;25;15;37;43;51;61;89;79;
20030329;26;1;31;54;80;81;85;26;
20030402;27;27;28;40;63;67;78;83;
20030405;28;12;18;47;63;75;81;60;
20030409;29;4;14;16;44;76;77;15;
20030412;30;4;61;63;79;84;85;3;
20030416;31;15;22;37;64;88;90;26;
20030419;32;11;26;45;53;69;75;64;
20030423;33;11;21;40;66;68;83;89;
20030426;34;10;18;26;39;62;68;86;
20030430;35;35;38;60;68;74;86;53;
20030503;36;2;6;12;17;19;63;50;
20030507;37;1;2;4;19;26;89;6;
20030510;38;22;38;46;47;77;86;53;
20030514;39;16;21;38;44;67;87;28;
20030517;40;5;39;61;75;79;90;38;
20030521;41;5;28;48;53;75;88;4;
20030524;42;12;35;54;58;61;65;60;
20030528;43;40;44;62;76;85;90;10;
20030531;44;30;44;47;48;53;56;72;
20030604;45;17;29;35;45;76;84;51;
20030607;46;15;37;38;57;76;87;30;
20030611;47;7;32;40;43;47;87;5;
20030614;48;6;25;46;59;71;83;61;
20030618;49;2;12;26;30;65;74;39;
20030621;50;7;19;39;45;48;86;90;
20030625;51;1;9;40;59;73;74;70;
20030628;52;14;18;34;48;49;74;4;
20030702;53;9;13;16;17;34;57;37;
20030705;54;50;62;68;70;74;80;22;
20030709;55;36;38;39;66;76;83;3;
20030712;56;10;11;46;80;83;88;15;
20030716;57;15;18;29;37;47;50;22;
20030719;58;7;14;27;47;80;87;33;
20030723;59;1;10;35;57;67;78;85;
20030726;60;3;4;8;28;77;86;68;
20030730;61;7;18;46;74;82;90;60;
20030802;62;12;41;45;51;66;77;40;
20030806;63;8;21;24;42;72;73;51;
20030809;64;37;48;55;76;87;90;71;
20030813;65;9;11;39;44;49;86;47;
20030816;66;35;52;55;61;80;83;36;
20030820;67;8;9;10;18;42;63;49;
20030823;68;6;42;68;70;75;87;73;
20030827;69;1;8;22;28;64;77;21;
20030830;70;2;5;36;61;86;88;44;
20030903;71;18;45;47;56;77;78;52;
20030906;72;16;17;49;50;74;81;19;
20030910;73;39;50;51;64;72;81;18;
20030913;74;1;18;34;39;48;64;8;
20030917;75;25;33;64;67;68;73;58;
20030920;76;42;44;51;64;65;77;35;
20030924;77;3;26;39;41;56;61;82;
20030927;78;17;52;55;65;82;90;85;
20031001;79;17;55;66;81;86;89;19;
20031004;80;22;62;68;73;75;87;47;
20031008;81;1;8;26;41;70;84;2;
20031011;82;13;16;25;45;47;55;22;
20031015;83;11;26;30;34;43;73;40;
20031018;84;1;4;14;41;44;82;30;
20031022;85;14;15;64;76;80;86;81;
20031025;86;49;54;55;62;66;88;12;
20031029;87;2;12;20;52;54;63;69;
20031103;88;9;25;37;73;80;81;13;
20031105;89;13;14;24;29;73;79;46;
20031108;90;7;30;43;52;57;82;75;
20031112;91;18;29;32;55;79;82;52;
20031115;92;35;54;78;81;86;88;50;
20031119;93;2;11;23;31;40;86;29;
20031122;94;3;27;54;65;81;83;58;
20031126;95;46;66;68;70;78;79;54;
20031129;96;38;50;63;65;84;88;26;
20031203;97;7;20;29;55;71;81;59;
20031206;98;1;2;18;27;43;47;78;
20031210;99;6;37;62;73;79;90;48;
20031213;100;20;48;50;58;65;78;62;
20031217;101;1;3;42;48;73;83;4;
20031220;102;3;36;40;42;54;59;64;
20031224;103;3;19;33;36;72;84;54;
20031227;104;7;19;37;51;53;74;77;
20031231;105;3;15;31;36;43;82;57;
20040103;1;29;32;36;72;77;82;20;
20040107;2;2;33;41;56;62;74;14;
20040110;3;15;25;26;32;51;61;63;
20040114;4;5;15;59;65;70;82;14;
20040117;5;4;6;19;40;60;79;89;
20040121;6;3;36;53;64;80;90;4;
20040124;7;22;27;48;52;81;83;43;
20040128;8;7;41;48;54;72;88;12;
20040131;9;4;11;26;53;63;66;8;
20040204;10;11;30;51;54;88;90;2;
20040207;11;17;24;34;49;72;82;40;
20040211;12;12;19;38;43;52;85;33;
20040214;13;17;35;41;81;82;86;13;
20040218;14;12;20;55;79;81;82;2;
20040221;15;4;13;18;58;71;84;3;
20040225;16;66;72;76;77;81;85;82;
20040228;17;11;29;60;61;82;84;33;
20040303;18;12;23;52;69;75;85;43;
20040306;19;8;19;25;49;50;54;40;
20040310;20;30;52;55;65;71;80;39;
20040313;21;4;8;12;44;77;88;71;
20040317;22;5;17;53;56;61;83;86;
